scheme,N,GPUs,htod,kernel,dtoh
cpall,1024,1,0.00312,0.00892,0.00336
cpall,2048,1,0.00749,0.07081,0.00862
cpall,4096,1,0.02914,0.50653,0.02682
cpall,8192,1,0.11701,3.05843,0.07411
cpall,12288,1,0.19558,9.98749,0.16560
cpall,16384,1,0.44637,23.46870,0.40978
cpall,20480,1,0.57132,45.84226,0.53783
cpall,24576,1,0.58834,79.28616,0.88960
cpall,28672,1,0.76393,126.12233,0.88636
cpall,1024,2,0.00506,0.00454,0.00380
cpall,2048,2,0.01710,0.03495,0.00949
cpall,4096,2,0.05179,0.27204,0.02642
cpall,8192,2,0.17837,1.61603,0.08499
cpall,12288,2,0.39748,5.08267,0.16477
cpall,16384,2,1.14329,11.80907,0.33997
cpall,20480,2,2.13101,23.04197,0.68035
cpall,24576,2,2.29604,39.68804,0.76293
cpall,28672,2,3.24487,63.13830,1.03975
cpall,1024,3,0.00864,0.00346,0.00394
cpall,2048,3,0.02666,0.02451,0.00953
cpall,4096,3,0.08667,0.18822,0.02370
cpall,8192,3,0.36422,1.16543,0.08487
cpall,12288,3,1.03649,3.47198,0.16627
cpall,16384,3,1.75029,8.05396,0.33961
cpall,20480,3,2.38832,15.48125,0.53292
cpall,24576,3,3.43252,26.68966,0.77001
cpall,28672,3,5.10443,42.54285,1.02842
cpall,1024,4,0.00961,0.00241,0.00420
cpall,2048,4,0.05772,0.01789,0.01092
cpall,4096,4,0.12913,0.14149,0.03343
cpall,8192,4,0.82685,0.92567,0.07507
cpall,12288,4,1.77849,2.61825,0.16579
cpall,16384,4,2.56141,6.00502,0.29562
cpall,20480,4,2.10655,11.60649,0.54039
cpall,24576,4,4.27073,19.97736,0.76830
cpall,28672,4,5.82927,31.78661,1.04483
cpall,1024,5,0.01594,0.00242,0.00399
cpall,2048,5,0.03797,0.01781,0.00935
cpall,4096,5,0.13891,0.12351,0.03537
cpall,8192,5,0.66442,0.76492,0.07446
cpall,12288,5,1.76400,2.12876,0.19175
cpall,16384,5,2.05493,4.88306,0.34396
cpall,20480,5,3.98704,9.27182,0.56617
cpall,24576,5,5.07846,16.05167,0.76369
cpall,28672,5,4.80382,25.38424,0.89270
cpall,1024,6,0.01562,0.00218,0.00370
cpall,2048,6,0.04644,0.01592,0.01034
cpall,4096,6,0.18729,0.10277,0.02494
cpall,8192,6,0.67572,0.68110,0.09251
cpall,12288,6,1.60186,1.85625,0.16574
cpall,16384,6,3.09308,4.07320,0.33807
cpall,20480,6,4.70952,8.00663,0.52705
cpall,24576,6,5.47383,13.37264,0.77863
cpall,28672,6,6.69318,21.42067,0.88914
cpall,1024,7,0.01861,0.00248,0.00389
cpall,2048,7,0.05884,0.01160,0.00952
cpall,4096,7,0.27072,0.08962,0.03315
cpall,8192,7,1.02955,0.60699,0.09301
cpall,12288,7,2.35141,1.70786,0.16608
cpall,16384,7,4.03944,3.53632,0.29469
cpall,20480,7,5.96124,6.83461,0.46202
cpall,24576,7,7.14081,11.81491,0.76568
cpall,28672,7,9.36552,18.29516,0.89349
cpall,1024,8,0.01820,0.00133,0.00445
cpall,2048,8,0.09243,0.00924,0.00984
cpall,4096,8,0.46373,0.07282,0.02520
cpall,8192,8,0.95427,0.52131,0.09289
cpall,12288,8,2.20192,1.42516,0.16589
cpall,16384,8,4.46962,3.11128,0.35992
cpall,20480,8,5.17381,5.88280,0.56243
cpall,24576,8,8.13065,10.16990,0.66101
cpall,28672,8,9.18583,16.18490,0.89165
cpall,1024,9,0.02204,0.00247,0.00364
cpall,2048,9,0.08593,0.00903,0.01051
cpall,4096,9,0.38117,0.06994,0.02539
cpall,8192,9,1.31870,0.48860,0.09434
cpall,12288,9,2.74476,1.36420,0.21133
cpall,16384,9,4.15281,2.97534,0.34016
cpall,20480,9,5.10385,5.30700,0.53185
cpall,24576,9,7.43618,9.13455,0.66953
cpall,28672,9,11.31270,14.68435,1.03660
cpall,1024,10,0.02931,0.00165,0.00391
cpall,2048,10,0.06357,0.01120,0.00931
cpall,4096,10,0.42243,0.08753,0.02577
cpall,8192,10,1.13535,0.48676,0.13828
cpall,12288,10,2.55935,1.19871,0.23280
cpall,16384,10,4.52853,2.49960,0.30156
cpall,20480,10,5.42033,4.74705,0.51933
cpall,24576,10,7.65608,8.63636,0.67780
cpall,28672,10,8.39902,13.49292,0.91933
cpall,1024,11,0.02403,0.00364,0.00358
cpall,2048,11,0.10110,0.01677,0.01201
cpall,4096,11,0.30715,0.08176,0.02751
cpall,8192,11,1.37121,0.42270,0.08401
cpall,12288,11,2.82892,1.27951,0.21582
cpall,16384,11,5.24721,2.46461,0.33892
cpall,20480,11,6.08524,4.39933,0.51283
cpall,24576,11,10.49696,8.20884,0.83836
cpall,28672,11,12.00073,12.18203,0.93171
cpall,1024,12,0.02888,0.00311,0.00392
cpall,2048,12,0.09434,0.01039,0.01004
cpall,4096,12,0.32856,0.08048,0.02628
cpall,8192,12,1.70128,0.39839,0.10132
cpall,12288,12,2.74877,1.01779,0.22427
cpall,16384,12,5.68325,2.37508,0.31021
cpall,20480,12,8.39158,4.21111,0.48045
cpall,24576,12,8.37905,6.82077,0.74615
cpall,28672,12,12.83356,11.83260,0.94178
cpall,1024,13,0.02786,0.00274,0.00364
cpall,2048,13,0.10190,0.01891,0.00999
cpall,4096,13,0.47680,0.09295,0.02673
cpall,8192,13,2.00484,0.47122,0.08074
cpall,12288,13,2.77853,1.09997,0.21759
cpall,16384,13,5.61862,2.10664,0.30947
cpall,20480,13,7.18541,3.86069,0.48336
cpall,24576,13,9.21129,6.34117,0.69375
cpall,28672,13,14.29862,11.50714,0.94702
cpall,1024,14,0.03046,0.00197,0.00361
cpall,2048,14,0.11366,0.01373,0.01028
cpall,4096,14,0.47721,0.04851,0.02881
cpall,8192,14,1.45807,0.36782,0.10228
cpall,12288,14,3.26164,0.99776,0.28020
cpall,16384,14,5.41054,2.07477,0.31325
cpall,20480,14,8.59145,3.91945,0.48992
cpall,24576,14,11.95001,6.75687,0.70922
cpall,28672,14,19.15840,9.24819,0.96583
cpall,1024,15,0.03512,0.00149,0.00392
cpall,2048,15,0.12189,0.00915,0.00905
cpall,4096,15,0.38430,0.06979,0.02741
cpall,8192,15,1.86638,0.30172,0.11100
cpall,12288,15,3.26000,1.01100,0.18138
cpall,16384,15,5.65880,1.75618,0.31447
cpall,20480,15,8.58149,3.73978,0.61875
cpall,24576,15,10.74409,5.63631,0.71342
cpall,28672,15,16.65758,9.80479,1.21193
cpall,1024,16,0.03777,0.00088,0.00345
cpall,2048,16,0.15246,0.00520,0.00981
cpall,4096,16,0.56653,0.03711,0.02971
cpall,8192,16,1.96533,0.28155,0.08270
cpall,12288,16,4.39015,0.81468,0.27031
cpall,16384,16,6.84935,1.61044,0.31818
cpall,20480,16,10.37457,3.03253,0.50450
cpall,24576,16,11.88663,5.11220,0.70496
cpall,28672,16,21.43818,8.09388,1.25642
